song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy,year,genre_full
Happier,Marshmello & Bastille,6,7.0,3,20,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy,2019,Classical
Drip Too Hard,Lil Baby & Gunna,8,12.0,4,16,6255bc30-64f8-4a5c-883e-00ddaa421e2f,danceable,hip,female,not_aggressive,voice,112.442695618,A,0.855042338371,not_happy,2019,Hip-Hop
Better Now,Post Malone,10,23.0,3,36,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy,2019,Pop
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,12,18.0,11,16,7a4eb25f-ffe0-4065-b9d6-ff343e822901,danceable,hip,male,not_aggressive,voice,143.072921753,A#,0.95696413517,happy,2019,Hip-Hop
Breathin,Ariana Grande,16,22.0,12,20,8daa330b-8d89-42e5-afb1-750144102825,danceable,pop,female,not_aggressive,instrumental,99.5541687012,F,0.933262705803,not_happy,2019,Pop
Leave Me Alone,Flipp Dinero,22,33.0,22,16,ad4f29b8-c40e-470c-98ff-91ee966fa058,danceable,hip,female,not_aggressive,voice,150.235183716,A#,0.783627867699,not_happy,2019,Hip-Hop
Speechless,Dan + Shay,24,41.0,24,17,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy,2019,Pop
Love Lies,Khalid & Normani,27,48.0,9,46,a5c11c65-acb7-4ee8-87de-e92f9cffbdf8,not_danceable,cla,male,not_aggressive,instrumental,135.859542847,G,0.670250713825,not_happy,2019,Classical
Beautiful,Bazzi Featuring Camila Cabello,28,50.0,28,22,83b1d16a-25c3-4429-b06d-03c08db66679,not_danceable,cla,male,not_aggressive,instrumental,84.0190811157,G,0.626622319221,not_happy,2019,Classical
Baby Shark,Pinkfong,32,,32,1,4d19d9d5-9174-4037-9dec-21b6c2cbcbb9,danceable,hip,male,not_aggressive,voice,114.734375,A#,0.937664628029,not_happy,2019,Hip-Hop
You Say,Lauren Daigle,34,59.0,34,25,e8128e69-1c24-4e0f-8e31-6a4087299ba4,not_danceable,pop,female,not_aggressive,voice,147.918914795,A#,0.700807750225,not_happy,2019,Pop
Uproar,Lil Wayne,35,56.0,7,14,630854cf-741a-4b68-bc9d-c648862b4180,danceable,hip,male,not_aggressive,voice,98.9849395752,A#,0.930883765221,not_happy,2019,Hip-Hop
A Lot,21 Savage,36,37.0,36,2,39fb60ce-0c92-4e72-930b-cc6c2d4efcee,danceable,dan,female,not_aggressive,voice,146.027099609,F,0.94995445013,not_happy,2019,Dance/Electronic
Drunk Me,Mitchell Tenpenny,39,64.0,39,21,b6dbd9a2-8d8d-4ff8-80ac-5ac387889ba1,danceable,pop,female,not_aggressive,voice,87.9701690674,D,0.875709474087,happy,2019,Pop
Be Alright,Dean Lewis,40,63.0,40,10,6cb28fbd-05fc-479b-b192-a498f79b3e2e,danceable,pop,female,not_aggressive,voice,126.561714172,B,0.744760930538,not_happy,2019,Pop
Sweet But Psycho,Ava Max,41,83.0,41,3,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy,2019,Pop
Sixteen,Thomas Rhett,42,79.0,42,8,5ea5b5de-1312-43f1-983e-9d753434b2f3,danceable,pop,female,not_aggressive,voice,106.918266296,C#,0.883783698082,not_happy,2019,Pop
Burning Man,Dierks Bentley Featuring Brothers Osborne,45,80.0,45,11,6259736f-ddd6-4791-9c1e-2346d41f636f,not_danceable,rhy,male,not_aggressive,voice,117.904968262,D#,0.773548305035,not_happy,2019,Rhythm & Blues (R&B)
Good Girl,Dustin Lynch,47,89.0,47,8,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy,2019,Pop
Girl Like You,Jason Aldean,52,87.0,52,6,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy,2019,Pop
Last Shot,Kip Moore,53,96.0,53,7,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy,2019,Rock
Look Back At It,A Boogie Wit da Hoodie,54,66.0,54,4,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy,2019,Rhythm & Blues (R&B)
This Is It,Scotty McCreery,57,100.0,57,4,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy,2019,Rock
Calling My Spirit,Kodak Black,58,74.0,46,5,d8ff611d-b2d5-4808-be8a-ec9f40171cab,danceable,rhy,male,not_aggressive,voice,119.961242676,A#,0.340007573366,not_happy,2019,Rhythm & Blues (R&B)
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,61,65.0,61,2,20714476-804f-4217-9b57-63f08008d652,danceable,hip,female,not_aggressive,instrumental,95.9862747192,A#,0.914168536663,not_happy,2019,Hip-Hop
Electricity,Silk City x Dua Lipa,62,,62,7,89a26a81-05b9-4083-9639-b180fc341d82,not_danceable,dan,female,not_aggressive,instrumental,144.634460449,C,0.927419126034,happy,2019,Dance/Electronic
Ella Quiere Beber,Anuel AA & Romeo Santos,64,92.0,64,9,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy,2019,Rhythm & Blues (R&B)
Can't Leave Without It,21 Savage,65,58.0,58,2,a82d6fa1-0f3e-4a44-a18a-c43d5e6afe71,danceable,rhy,male,not_aggressive,voice,131.968734741,A,0.771034955978,not_happy,2019,Rhythm & Blues (R&B)
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,67,,56,18,cb11d149-df69-405f-b837-3053def3de75,danceable,hip,female,not_aggressive,voice,98.9804000854,F,0.921498537064,happy,2019,Hip-Hop
When The Party's Over,Billie Eilish,68,82.0,52,11,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy,2019,Rhythm & Blues (R&B)
Millionaire,Chris Stapleton,69,,69,4,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662,danceable,rhy,male,not_aggressive,voice,142.815734863,A#,0.937531888485,happy,2019,Rhythm & Blues (R&B)
BAD!,XXXTENTACION,70,68.0,16,8,0e20165f-e02e-4472-9f4a-80ecacc5bda7,danceable,rhy,female,not_aggressive,voice,144.020614624,F,0.843534529209,not_happy,2019,Rhythm & Blues (R&B)
Pure Cocaine,Lil Baby,72,,46,4,8cc74581-e677-4851-ad27-83d05515fd36,danceable,hip,female,not_aggressive,voice,126.982345581,A#,0.967274606228,not_happy,2019,Hip-Hop
Lovely,Billie Eilish & Khalid,73,91.0,73,10,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,not_danceable,jaz,female,not_aggressive,voice,114.798667908,E,0.512330889702,happy,2019,Jazz
Take It From Me,Jordan Davis,75,,75,1,37b94577-62f8-4bab-8c60-6715fb9f9130,danceable,pop,male,not_aggressive,voice,99.9436645508,A#,0.955841362476,not_happy,2019,Pop
What Makes You Country,Luke Bryan,76,,76,1,3dafcbe1-f845-4042-b49c-534dcf0a8c7a,danceable,pop,male,not_aggressive,voice,161.643936157,C,0.926102876663,happy,2019,Pop
