song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Ramblin' Gamblin' Man,Bob Seger System,17,17.0,17,10,2d7bc711-ac32-4de2-978e-b2e4f9a679c2,danceable,pop,male,aggressive,instrumental,130.530319214,A,0.959428668022,happy
Take Care Of Your Homework,Johnnie Taylor,20,23.0,20,6,3b80379e-fe99-406d-800b-2a2d48348fd3,danceable,rhy,female,not_aggressive,voice,110.618972778,E,0.836513161659,not_happy
Crossroads,Cream,29,32.0,29,5,b44f7256-7ffa-4290-bffb-0b9288baca6a,not_danceable,roc,male,not_aggressive,voice,133.007400513,D,0.958901762962,happy
Things I'd Like To Say,New Colony Six,31,31.0,31,9,87ce3480-1dcc-4a5c-b0ac-f53ed2eaedce,not_danceable,pop,male,not_aggressive,voice,96.2837524414,D,0.87509483099,not_happy
Soulful Strut,Young-Holt Unlimited,33,18.0,3,13,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c,not_danceable,rhy,male,not_aggressive,voice,89.6971130371,A#,0.872257351875,happy
"Run Away Child, Running Wild",The Temptations,38,70.0,38,2,aea60881-a6bd-4057-8a5b-a07323e89616,danceable,rhy,female,not_aggressive,instrumental,112.858695984,A#,0.620558440685,happy
Soulshake,Peggy Scott & Jo Jo Benson,39,40.0,39,4,26172685-442f-418d-bd7a-f69386293238,danceable,dan,female,not_aggressive,voice,143.681930542,A#,0.813829541206,happy
Heaven,The Rascals,41,59.0,41,3,1f3f68d1-a14f-4709-8712-179a7ae8e297,not_danceable,cla,male,not_aggressive,voice,143.956359863,C#,0.531453132629,happy
Does Anybody Know I'm Here,The Dells,44,38.0,38,9,24e2fe2f-479a-48b7-b9e0-1461b716da26,not_danceable,rhy,male,not_aggressive,voice,87.4053573608,G,0.617611587048,happy
May I,Bill Deal & The Rhondels,46,58.0,46,6,d209707d-fc09-4acd-9656-ba402f75e5aa,danceable,roc,male,not_aggressive,voice,126.984809875,A,0.830684483051,happy
